Date,Bitcoin.tone,Bitcoin.vol,Ethereum.tone,Ethereum.vol
2017-11-22 00:00:00,-1.2541,0.5935,-1.1725,0.519
2017-11-23 00:00:00,-1.0199,0.4858,-1.0143,0.4451
2017-11-24 00:00:00,-0.817,0.4136,-0.7969,0.3844
2017-11-25 00:00:00,-1.2823,0.3017,-1.3551,0.2719
2017-11-26 00:00:00,-0.7802,0.3542,-0.8439,0.3068
2017-11-27 00:00:00,-0.8557,0.5791,-0.863,0.4957
2017-11-28 00:00:00,-0.8014,0.5444,-0.8582,0.4588
2017-11-29 00:00:00,-0.8127,0.7514,-0.8298,0.6119
2017-11-30 00:00:00,-1.0753,0.7328,-1.1232,0.6192
2017-12-03 00:00:00,-0.919,0.4118,-0.949,0.3355
2017-12-04 00:00:00,-1.1316,0.8504,-1.2174,0.6987
2017-12-05 00:00:00,-0.522,0.5285,-0.4215,0.4422
2017-12-06 00:00:00,-0.9929,0.6561,-0.7563,0.4911
2017-12-07 00:00:00,-1.3815,0.9334,-1.3519,0.7288
2017-12-08 00:00:00,-0.9693,0.8592,-0.9952,0.6336
2017-12-09 00:00:00,-0.5648,0.5732,-1.0452,0.3675
2017-12-10 00:00:00,-0.699,0.5106,-0.6715,0.3668
2017-12-11 00:00:00,-0.8955,1.1166,-0.9104,0.8387
2017-12-12 00:00:00,-0.6692,0.7402,-0.6822,0.5066
2017-12-13 00:00:00,-1.1079,0.8537,-0.8246,0.5822
2017-12-14 00:00:00,-0.8743,0.7185,-0.8107,0.5867
2017-12-15 00:00:00,-1.6192,0.8526,-1.0981,0.5684
2017-12-16 00:00:00,-0.6712,0.5233,-0.3858,0.3726
2017-12-17 00:00:00,-0.5286,0.4016,-0.5275,0.3002
2017-12-18 00:00:00,-0.6305,0.7207,-0.6927,0.5538
2017-12-19 00:00:00,-1.5866,0.8219,-1.5455,0.6295
2017-12-20 00:00:00,-1.0637,0.7952,-0.8959,0.6013
2017-12-21 00:00:00,-0.7679,0.769,-0.8708,0.5732
2017-12-22 00:00:00,-1.0437,1.0324,-1.4154,0.7443
2017-12-23 00:00:00,-1.7242,0.5466,-1.8616,0.4081
2017-12-24 00:00:00,-1.187,0.4714,-1.0589,0.3277
2017-12-25 00:00:00,-1.2095,0.4128,-1.3856,0.3078
2017-12-26 00:00:00,-0.9073,0.6804,-0.9557,0.5182
2017-12-27 00:00:00,-0.7231,0.607,-0.6459,0.4269
2017-12-28 00:00:00,-0.9393,0.7333,-0.9483,0.5543
2017-12-29 00:00:00,-1.1405,0.829,-0.9937,0.6128
2017-12-30 00:00:00,-1.4837,0.4678,-1.3714,0.3574
2017-12-31 00:00:00,-1.3295,0.4814,-1.2991,0.3782
2018-01-01 00:00:00,-1.6703,0.417,-1.8687,0.3185
2018-01-02 00:00:00,-0.6703,0.7634,-0.628,0.5664
2018-01-03 00:00:00,-0.5419,0.678,-0.5119,0.5211
2018-01-04 00:00:00,-0.7374,0.6077,-0.6981,0.4687
2018-01-05 00:00:00,-0.6995,0.5773,-0.6744,0.4693
2018-01-06 00:00:00,-0.9147,0.3756,-0.9056,0.27
2018-01-07 00:00:00,-1.2314,0.302,-1.151,0.2251
2018-01-08 00:00:00,-0.8496,0.6152,-0.9074,0.5131
2018-01-09 00:00:00,-0.8573,0.6529,-0.9129,0.5302
2018-01-10 00:00:00,-0.3881,0.6242,-0.4076,0.5113
2018-01-11 00:00:00,-1.0255,0.7261,-1.0179,0.5745
2018-01-12 00:00:00,-0.5944,0.6196,-0.4833,0.4977
2018-01-13 00:00:00,-1.0532,0.4306,-1.1645,0.3365
2018-01-14 00:00:00,-0.762,0.3173,-0.8285,0.2526
2018-01-15 00:00:00,-0.65,0.5317,-0.4246,0.4394
2018-01-16 00:00:00,-1.0797,0.6831,-0.9768,0.5729
2018-01-17 00:00:00,-1.3527,0.8628,-1.4944,0.687
2018-01-18 00:00:00,-1.2832,0.6896,-1.3688,0.5575
2018-01-19 00:00:00,-1.1077,0.7012,-1.1222,0.5725
2018-01-20 00:00:00,-1.143,0.3603,-1.0688,0.2981
2018-01-21 00:00:00,-0.9335,0.2792,-0.9825,0.2393
2018-01-22 00:00:00,-0.7518,0.5409,-0.8011,0.4556
2018-01-23 00:00:00,-0.5842,0.5585,-0.4807,0.4382
2018-01-24 00:00:00,-0.4711,0.684,-0.3975,0.6014
2018-01-25 00:00:00,-0.5926,0.9051,-0.4801,0.7936
2018-01-26 00:00:00,-0.6596,0.675,-0.6936,0.5808
2018-01-27 00:00:00,-1.201,0.3899,-1.2358,0.3331
2018-01-28 00:00:00,-0.9814,0.3872,-1.0179,0.3304
2018-01-29 00:00:00,-1.0365,0.673,-0.8203,0.5696
2018-01-30 00:00:00,-0.9709,0.6529,-0.9966,0.5264
2018-01-31 00:00:00,-0.9531,0.6342,-0.8194,0.5217
2018-02-01 00:00:00,-0.6225,0.5861,-0.525,0.4866
2018-02-02 00:00:00,-1.0068,0.6505,-1.0794,0.4675
2018-02-03 00:00:00,-0.9993,0.3825,-1.1686,0.273
2018-02-04 00:00:00,-0.5566,0.3347,-0.469,0.2813
2018-02-05 00:00:00,-1.4826,0.6879,-1.3718,0.4983
